FRRD_NM,dominant_FRTP_CD,dominant_FRTP_label
100번 속곡,2.0,활엽수림
101번 상원,1.0,침엽수림
102번 본신,1.0,침엽수림
103번 수하,2.0,활엽수림
104번 무창,1.0,침엽수림
105번 오리,1.0,침엽수림
106번 화천,1.0,침엽수림
107번 가천,1.0,침엽수림
108번 도계,2.0,활엽수림
109번 상원,1.0,침엽수림
10번 가천~오기,1.0,침엽수림
110번 본신,1.0,침엽수림
111번 수하,2.0,활엽수림
112번 수하2,2.0,활엽수림
11번 월매,2.0,활엽수림
12번 죽파~기산,2.0,활엽수림
13번 창수~대리,1.0,침엽수림
14번 창수~백청,1.0,침엽수림
15번 죽파~본신,2.0,활엽수림
16번 기산~울진,1.0,침엽수림
18번 기산~보림,1.0,침엽수림
19번 수하~본신,1.0,침엽수림
19용흥,1.0,침엽수림
20번 삼의~속곡,2.0,활엽수림
21번 대리~신기,2.0,활엽수림
23번 영리,1.0,침엽수림
24번 창수~무창,1.0,침엽수림
25번 수리~보림,1.0,침엽수림
26번 삼계~수리,2.0,활엽수림
27번 본신,2.0,활엽수림
28번 본신,1.0,침엽수림
29번 화천~무학,1.0,침엽수림
30번 창수~양구,2.0,활엽수림
31번 본신,1.0,침엽수림
32번 죽파~송하,2.0,활엽수림
33번 신원,2.0,활엽수림
34번 무창~무학,1.0,침엽수림
35번 가천~칠성,1.0,침엽수림
36번 대리~창수,2.0,활엽수림
37번 대리,2.0,활엽수림
38번 무창~화천,2.0,활엽수림
39번 계리~칠성,1.0,침엽수림
40번 삼의,2.0,활엽수림
41번 계리~칠성,1.0,침엽수림
42번 삼의,2.0,활엽수림
43번 기산,1.0,침엽수림
44번 무창~기산,1.0,침엽수림
45번 무창~기산,1.0,침엽수림
46번 본신(산불1),1.0,침엽수림
47번 가천(전환),1.0,침엽수림
48번 수하(전환),2.0,활엽수림
49번 삼계(전환),1.0,침엽수림
50번 본신(산불2),1.0,침엽수림
51번 본신(산불2),1.0,침엽수림
52번 기산,1.0,침엽수림
53번 창수~영리,1.0,침엽수림
54번 본신,1.0,침엽수림
55번 무창,2.0,활엽수림
56번 발리,1.0,침엽수림
57번 본신,1.0,침엽수림
58번 영리~금곡,1.0,침엽수림
59번 홍계,1.0,침엽수림
5번 신흥~노래,1.0,침엽수림
60번 오기(1노선),1.0,침엽수림
61번 오기,1.0,침엽수림
62번 오기,1.0,침엽수림
63번 죽파,2.0,활엽수림
64번 무계,2.0,활엽수림
65번 오리,1.0,침엽수림
66번 수하,1.0,침엽수림
67번 영리~아곡,1.0,침엽수림
68번 기산,1.0,침엽수림
69번 병곡.금곡,1.0,침엽수림
6번 노래,1.0,침엽수림
70번 기산,1.0,침엽수림
71번 양구,1.0,침엽수림
72번 수하,1.0,침엽수림
73번 본신,1.0,침엽수림
74번 화천~옥류,1.0,침엽수림
75번 화천~옥류,1.0,침엽수림
76번 영리~금곡,1.0,침엽수림
77번 장전,2.0,활엽수림
78번 노래,2.0,활엽수림
79번 노래,1.0,침엽수림
7번 죽파~신원,2.0,활엽수림
80번 본신,1.0,침엽수림
81번 화천,2.0,활엽수림
82번 개일,2.0,활엽수림
83번 양구,2.0,활엽수림
84번 죽파,2.0,활엽수림
85번 사암,2.0,활엽수림
86번 기산,1.0,침엽수림
87번 중기(1),2.0,활엽수림
88번 무계,2.0,활엽수림
89번 개일,1.0,침엽수림
8번 신원~죽파,2.0,활엽수림
90번 계리,1.0,침엽수림
91번 신리,2.0,활엽수림
92번 중기(2),2.0,활엽수림
93번 무창,1.0,침엽수림
94번 오리,1.0,침엽수림
95번 오리,1.0,침엽수림
96번 속곡,2.0,활엽수림
97번 삼의(1),1.0,침엽수림
98번 본신,1.0,침엽수림
99번 삼의(2),2.0,활엽수림
9번 죽파,2.0,활엽수림
가부제,2.0,활엽수림
가은(용추계곡),2.0,활엽수림
가은-완장(1),2.0,활엽수림
가은-완장(2),2.0,활엽수림
가은-완장(3),1.0,침엽수림
가은-완장(옷나무골),1.0,침엽수림
각산-월전,1.0,침엽수림
각산리-월전리,2.0,활엽수림
간선1,2.0,활엽수림
간선2,1.0,침엽수림
간선3,1.0,침엽수림
간선4,2.0,활엽수림
간선5,1.0,침엽수림
간선6,2.0,활엽수림
갈곡,1.0,침엽수림
갈면_길곡,1.0,침엽수림
갈면_왕피로,1.0,침엽수림
갈면산불,1.0,침엽수림
갈면산불예방,1.0,침엽수림
갈산(봉화터널),1.0,침엽수림
갈산(상버내골),1.0,침엽수림
갈산(상버내골1),1.0,침엽수림
갈산(상버내골2),2.0,활엽수림
갈산(상버내골3),1.0,침엽수림
갈산(성안자원1),2.0,활엽수림
갈산(성안자원2),2.0,활엽수림
갈산(성안자원3),2.0,활엽수림
갈산(성안자원4),2.0,활엽수림
갈산(성안자원5),1.0,침엽수림
갈산(성안자원6),1.0,침엽수림
갈산(성안자원7),1.0,침엽수림
갈산(성안자원8),2.0,활엽수림
갈산전환,1.0,침엽수림
감동골,1.0,침엽수림
개단(자작둔지),1.0,침엽수림
개단(축서사),1.0,침엽수림
개단(축서사2),2.0,활엽수림
고선,2.0,활엽수림
고선(강시골),1.0,침엽수림
고선(청옥산),2.0,활엽수림
고선-대현,1.0,침엽수림
고선-분천,1.0,침엽수림
고초령_송방로,1.0,침엽수림
고항재,1.0,침엽수림
골포동골,1.0,침엽수림
곰도골(소광),1.0,침엽수림
곰치골,2.0,활엽수림
광산골,1.0,침엽수림
광평노선,1.0,침엽수림
광회,1.0,침엽수림
광회_쌍전,1.0,침엽수림
광회_왕피로,2.0,활엽수림
광회전환,1.0,침엽수림
구산(앞골),1.0,침엽수림
구산막골,2.0,활엽수림
구수골,2.0,활엽수림
구수골 입구,1.0,침엽수림
구주령_죽파로,2.0,활엽수림
궁기,2.0,활엽수림
금바골,1.0,침엽수림
금바골(2),1.0,침엽수림
길곡-외선미,1.0,침엽수림
길곡_이평로,1.0,침엽수림
길곡산불예방,1.0,침엽수림
꼬치비재,1.0,침엽수림
남산,2.0,활엽수림
남회룡,1.0,침엽수림
남회룡(남회룡-갈산),1.0,침엽수림
남회룡(마당목),1.0,침엽수림
남회룡(산불),1.0,침엽수림
내리,2.0,활엽수림
노른가리재,1.0,침엽수림
늦재(3),1.0,침엽수림
다락재(2),1.0,침엽수림
다락제,1.0,침엽수림
다천산불,1.0,침엽수림
답운골(쌍전),1.0,침엽수림
대광천_두천로,2.0,활엽수림
대광천_소광로,2.0,활엽수림
대전,2.0,활엽수림
대현,1.0,침엽수림
대현(늦재1),1.0,침엽수림
대현(늦재2),1.0,침엽수림
대현(달바위봉),1.0,침엽수림
대현(청옥산휴양림),2.0,활엽수림
대흥,1.0,침엽수림
덕거-두음,2.0,활엽수림
덕거리_운무터로,1.0,침엽수림
도시내골,1.0,침엽수림
도심,1.0,침엽수림
도심(1리-2리),1.0,침엽수림
도심-서동,1.0,침엽수림
동관,1.0,침엽수림
동니랑골,2.0,활엽수림
동면(미목),2.0,활엽수림
동면-미목,1.0,침엽수림
두산(토골),1.0,침엽수림
두성(두성-백석),2.0,활엽수림
두음(Ⅰ),2.0,활엽수림
두음(Ⅱ),2.0,활엽수림
두음(벧엘선교원),1.0,침엽수림
두음(여우골-두음),2.0,활엽수림
두천_솔평지로,1.0,침엽수림
두천산불,1.0,침엽수림
두천산불예방(혼다골),1.0,침엽수림
마공,2.0,활엽수림
막둥이골(길곡),2.0,활엽수림
만리,1.0,침엽수림
명산골,2.0,활엽수림
묘봉,1.0,침엽수림
묘봉(2),2.0,활엽수림
무개골,2.0,활엽수림
무개골(2),1.0,침엽수림
문수바위골,2.0,활엽수림
바른골,2.0,활엽수림
박달령(2),2.0,활엽수림
반야골,1.0,침엽수림
방목이골,1.0,침엽수림
방율_삼산로,1.0,침엽수림
봉화1,1.0,침엽수림
봉화2,1.0,침엽수림
봉화3,1.0,침엽수림
봉화4,2.0,활엽수림
봉화5,1.0,침엽수림
봉화6,1.0,침엽수림
봉화7,3.0,혼효림
봉화터널,1.0,침엽수림
불심골,1.0,침엽수림
비룡산,2.0,활엽수림
비룡산(2),2.0,활엽수림
비룡산(3),2.0,활엽수림
사월전환,1.0,침엽수림
산불예방1,1.0,침엽수림
산불예방2,2.0,활엽수림
산불예방3,2.0,활엽수림
산불진화1,1.0,침엽수림
산불진화1(추경),1.0,침엽수림
산불진화2,2.0,활엽수림
산불진화2(추경),1.0,침엽수림
산불진화3,1.0,침엽수림
산불진화3(추경,2.0,활엽수림
산불진화4,2.0,활엽수림
산불진화4(추경),1.0,침엽수림
산불진화5,1.0,침엽수림
산불진화6,1.0,침엽수림
산불진화7,2.0,활엽수림
삼근,1.0,침엽수림
삼근_소광,1.0,침엽수림
삼동산,1.0,침엽수림
삼산산불,1.0,침엽수림
삿갓봉골,2.0,활엽수림
상당산불,1.0,침엽수림
상당산불예방,2.0,활엽수림
상리(1),1.0,침엽수림
상오,1.0,침엽수림
새목골,1.0,침엽수림
새목골(2),2.0,활엽수림
서벽(금정1),2.0,활엽수림
서벽(금정2),2.0,활엽수림
서벽(상금정2),1.0,침엽수림
서벽(참새골),1.0,침엽수림
서벽(호랑이숲),1.0,침엽수림
서벽-도심(황기),1.0,침엽수림
석개재,2.0,활엽수림
석개재(2),2.0,활엽수림
석개재(3),2.0,활엽수림
석문동,1.0,침엽수림
석포(1),2.0,활엽수림
석포(2),2.0,활엽수림
석포(봉화-삼척),2.0,활엽수림
석포(소광-석포),2.0,활엽수림
석포-전곡,2.0,활엽수림
석포-전곡2,2.0,활엽수림
석포전환,1.0,침엽수림
선구,1.0,침엽수림
선구(마당골),1.0,침엽수림
성황골,2.0,활엽수림
소광,2.0,활엽수림
소광(광산골),1.0,침엽수림
소광(대왕송),2.0,활엽수림
소광(대흥두천연결),1.0,침엽수림
소광_대리골로,1.0,침엽수림
소광_두천,2.0,활엽수림
소광산불예방,1.0,침엽수림
소광산불예방(미인송),1.0,침엽수림
소광천_전곡로,1.0,침엽수림
소반야,2.0,활엽수림
소반야1,1.0,침엽수림
소반야2,1.0,침엽수림
소반야3,1.0,침엽수림
소천,1.0,침엽수림
수곡_박달재로,1.0,침엽수림
수냄골,2.0,활엽수림
수냄골(2),2.0,활엽수림
수도,2.0,활엽수림
수목원,1.0,침엽수림
수목원(1),1.0,침엽수림
수목원(2),1.0,침엽수림
수목원내,1.0,침엽수림
승부(결둔),1.0,침엽수림
시번,1.0,침엽수림
신곡1,1.0,침엽수림
신곡2,1.0,침엽수림
신곡3,2.0,활엽수림
신왕,1.0,침엽수림
신원,2.0,활엽수림
싸리내골1,2.0,활엽수림
싸리내골2,1.0,침엽수림
쌍전,1.0,침엽수림
쌍전(구시골),2.0,활엽수림
쌍전(불당골),1.0,침엽수림
쌍전(진장골),1.0,침엽수림
쌍전전환,1.0,침엽수림
쌍전전환(태거리골),1.0,침엽수림
안용,2.0,활엽수림
앞골(구산),1.0,침엽수림
어담,1.0,침엽수림
어산,2.0,활엽수림
여우골,1.0,침엽수림
여우천(1),1.0,침엽수림
여우천(2),1.0,침엽수림
여우천-꼬치비재,1.0,침엽수림
예배령,2.0,활엽수림
옛터골,1.0,침엽수림
오미산,2.0,활엽수림
오전(주실령),2.0,활엽수림
오전노선,1.0,침엽수림
옥계,1.0,침엽수림
옥녀봉,1.0,침엽수림
용각-어담,1.0,침엽수림
용흥,1.0,침엽수림
우곡-도심,1.0,침엽수림
우곡-도심(2),1.0,침엽수림
우곡-서벽,2.0,활엽수림
