FRRD_NM,SLTP_DESC,SLTP_CODE
100번 속곡,갈색건조산림토양(1),01
101번 상원,암적갈색건조산림토양(13),13
102번 본신,갈색약건산림토양(2),02
103번 수하,암적갈색약건산림토양(14),14
104번 무창,암적갈색약건산림토양(14),14
105번 오리,암적갈색건조산림토양(13),13
106번 화천,암적갈색약건산림토양(14),14
107번 가천,암적갈색약건산림토양(14),14
108번 도계,갈색약건산림토양(2),02
109번 상원,암적갈색건조산림토양(13),13
10번 가천~오기,암적갈색약건산림토양(14),14
110번 본신,갈색적윤산림토양(3),03
111번 수하,갈색약건산림토양(2),02
112번 수하2,암적갈색약건산림토양(14),14
11번 월매,갈색약건산림토양(2),02
12번 죽파~기산,암적갈색약건산림토양(14),14
13번 창수~대리,갈색약건산림토양(2),02
14번 창수~백청,암적갈색약건산림토양(14),14
15번 죽파~본신,암적갈색약건산림토양(14),14
16번 기산~울진,회갈색건조산림토양(15),15
18번 기산~보림,암적갈색약건산림토양(14),14
19번 수하~본신,갈색약건산림토양(2),02
19용흥,갈색건조산림토양(1),01
20번 삼의~속곡,갈색약건산림토양(2),02
21번 대리~신기,갈색약건산림토양(2),02
23번 영리,갈색약건산림토양(2),02
24번 창수~무창,암적갈색건조산림토양(13),13
25번 수리~보림,암적갈색건조산림토양(13),13
26번 삼계~수리,암적갈색건조산림토양(13),13
27번 본신,갈색약건산림토양(2),02
28번 본신,갈색약건산림토양(2),02
29번 화천~무학,암적갈색건조산림토양(13),13
30번 창수~양구,갈색약건산림토양(2),02
31번 본신,갈색약건산림토양(2),02
32번 죽파~송하,암적갈색약건산림토양(14),14
33번 신원,암적갈색약건산림토양(14),14
34번 무창~무학,암적갈색건조산림토양(13),13
35번 가천~칠성,암적갈색약건산림토양(14),14
36번 대리~창수,갈색약건산림토양(2),02
37번 대리,갈색약건산림토양(2),02
38번 무창~화천,암적갈색건조산림토양(13),13
39번 계리~칠성,암적갈색약건산림토양(14),14
40번 삼의,갈색약건산림토양(2),02
41번 계리~칠성,암적갈색약건산림토양(14),14
42번 삼의,갈색건조산림토양(1),01
43번 기산,암적갈색약건산림토양(14),14
44번 무창~기산,암적갈색건조산림토양(13),13
45번 무창~기산,암적갈색건조산림토양(13),13
46번 본신(산불1),암적갈색약건산림토양(14),14
47번 가천(전환),암적갈색약건산림토양(14),14
48번 수하(전환),갈색약건산림토양(2),02
49번 삼계(전환),암적갈색약건산림토양(14),14
50번 본신(산불2),암적갈색약건산림토양(14),14
51번 본신(산불2),암적갈색약건산림토양(14),14
52번 기산,암적갈색약건산림토양(14),14
53번 창수~영리,암적갈색약건산림토양(14),14
54번 본신,암적갈색약건산림토양(14),14
55번 무창,암적갈색건조산림토양(13),13
56번 발리,암적갈색건조산림토양(13),13
57번 본신,암적갈색약건산림토양(14),14
58번 영리~금곡,갈색약건산림토양(2),02
59번 홍계,암적갈색건조산림토양(13),13
5번 신흥~노래,회갈색약건산림토양(16),16
60번 오기(1노선),암적갈색약건산림토양(14),14
61번 오기,암적갈색약건산림토양(14),14
62번 오기,암적갈색약건산림토양(14),14
63번 죽파,암적갈색건조산림토양(13),13
64번 무계,갈색건조산림토양(1),01
65번 오리,암적갈색약건산림토양(14),14
66번 수하,암적갈색약건산림토양(14),14
67번 영리~아곡,갈색약건산림토양(2),02
68번 기산,암적갈색건조산림토양(13),13
69번 병곡.금곡,갈색약건산림토양(2),02
6번 노래,회갈색약건산림토양(16),16
70번 기산,암적갈색약건산림토양(14),14
71번 양구,암적갈색약건산림토양(14),14
72번 수하,암적갈색약건산림토양(14),14
73번 본신,갈색약건산림토양(2),02
74번 화천~옥류,갈색건조산림토양(1),01
75번 화천~옥류,갈색건조산림토양(1),01
76번 영리~금곡,회갈색약건산림토양(16),16
77번 장전,암적갈색약건산림토양(14),14
78번 노래,암적갈색약건산림토양(14),14
79번 노래,암적갈색건조산림토양(13),13
7번 죽파~신원,암적갈색약건산림토양(14),14
80번 본신,암적갈색약건산림토양(14),14
81번 화천,갈색건조산림토양(1),01
82번 개일,암적갈색약건산림토양(14),14
83번 양구,암적갈색건조산림토양(13),13
84번 죽파,암적갈색건조산림토양(13),13
85번 사암,암적갈색건조산림토양(13),13
86번 기산,회갈색약건산림토양(16),16
87번 중기(1),갈색약건산림토양(2),02
88번 무계,갈색약건산림토양(2),02
89번 개일,암적갈색약건산림토양(14),14
8번 신원~죽파,암적갈색건조산림토양(13),13
90번 계리,암적갈색약건산림토양(14),14
91번 신리,갈색약건산림토양(2),02
92번 중기(2),갈색약건산림토양(2),02
93번 무창,암적갈색건조산림토양(13),13
94번 오리,암적갈색약건산림토양(14),14
95번 오리,암적갈색약건산림토양(14),14
96번 속곡,갈색약건산림토양(2),02
97번 삼의(1),갈색건조산림토양(1),01
98번 본신,갈색약건산림토양(2),02
99번 삼의(2),갈색건조산림토양(1),01
9번 죽파,암적갈색약건산림토양(14),14
가부제,갈색약건산림토양(2),02
가은(용추계곡),갈색약건산림토양(2),02
가은-완장(1),갈색약건산림토양(2),02
가은-완장(2),갈색건조산림토양(1),01
