fid,FRRD_NM,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
1,11번 월매,590,5,1,5,4,2034,3.44745762711864,3,1.20442066138059,1,3,3,4,1
2,64번 무계,77,4,2,5,3,276,3.58441558441558,3,0.998058496459265,2,3,3,4,1
3,82번 개일,375,5,1,5,4,1302,3.472,3,1.28525587595104,1,5,3,5,2
4,92번 중기(2),325,5,1,5,4,988,3.04,3,1.31087756865392,1,3,2,4,2
5,88번 무계,124,5,1,5,4,426,3.43548387096774,3,1.27153663377434,1,3,3,5,2
6,신왕,616,5,1,5,4,1834,2.97727272727273,3,1.33489737565923,1,2,2,4,2
7,화전,418,5,1,5,4,1390,3.32535885167464,3,1.18982045625188,1,3,2,4,2
8,수도,1731,5,1,5,4,5831,3.368573079145,3,1.23982872214566,1,3,3,4,1
9,황점,961,5,1,5,4,2923,3.04162330905307,3,1.36186162436217,1,3,2,4,2
10,신원,150,5,1,5,4,533,3.55333333333333,3.5,0.996906325700776,1,3,3,4,1
11,상오,907,5,1,5,4,2828,3.11797133406836,3,1.38203031511668,1,3,2,4,2
12,신곡3,264,5,1,5,4,778,2.9469696969697,3,1.45025804359815,4,1,2,4,2
13,신곡2,433,5,1,5,4,1254,2.89607390300231,3,1.45789506716736,4,1,2,4,2
14,신곡1,526,5,1,5,4,1503,2.8574144486692,3,1.40091366414636,4,3,2,4,2
15,용흥,548,5,1,5,4,1518,2.77007299270073,3,1.32840197963176,4,2,2,4,2
16,옥계,70,5,1,5,4,239,3.41428571428571,4,1.25917044282402,2,4,3,4,1
17,월곡,34,5,1,5,4,111,3.26470588235294,3,1.3997651805048,1,5,2,5,3
18,대전,181,5,1,5,4,550,3.03867403314917,3,1.08411249382639,1,3,2,4,2
19,동관,552,5,1,5,4,1690,3.06159420289855,3,1.32144093858534,1,3,2,4,2
20,어산,173,5,1,5,4,525,3.03468208092486,3,1.25801915015808,1,3,2,4,2
21,조룡,179,5,1,5,4,541,3.02234636871508,3,1.36988890493802,2,3,2,4,2
22,남산,316,5,1,5,4,1002,3.17088607594937,3,1.10059269403379,1,3,2,4,2
23,19용흥,45,5,1,5,4,98,2.17777777777778,2,0.995297585624831,4,2,1,3,2
24,궁기,325,5,1,5,4,1215,3.73846153846154,4,1.07384174563785,1,4,3,5,2
25,봉화7,121,5,1,5,4,346,2.8595041322314,3,1.13767767751539,5,3,2,4,2
26,봉화3,102,5,1,5,4,263,2.57843137254902,3,1.04258609941915,5,3,2,3,1
27,봉화2,53,4,1,4,3,164,3.09433962264151,3,0.807141495705941,1,3,3,4,1
28,봉화1,190,5,1,5,4,529,2.78421052631579,3,1.21428478316499,5,2,2,4,2
29,봉화6,187,5,1,5,4,551,2.94652406417112,3,1.35130208674257,4,2,2,4,2
30,봉화4,78,5,1,5,4,245,3.14102564102564,3,1.14044929264134,1,4,2,4,2
31,봉화5,59,4,1,4,3,172,2.91525423728814,3,0.869212298641226,1,3,2.5,3.5,1
32,한천2,79,4,2,5,3,261,3.30379746835443,3,0.785218350342827,5,3,3,4,1
33,49번 삼계(전환),35,5,1,5,4,86,2.45714285714286,2,1.12992685333058,5,2,2,3,1
34,47번 가천(전환),60,5,1,5,4,214,3.56666666666667,4,1.17426099692057,1,3,3,5,2
35,각산-월전,303,5,1,5,4,1099,3.62706270627063,4,1.15877778705164,1,5,3,5,2
36,각산리-월전리,42,5,1,5,4,151,3.5952380952381,4,1.15592724704175,1,4,3,4,1
37,내리,33,5,1,5,4,131,3.96969696969697,4,1.14110123537956,1,5,4,5,1
38,작업2,664,5,1,5,4,2096,3.1566265060241,3,1.17434347421953,1,3,2,4,2
39,작업1,769,5,1,5,4,2464,3.20416124837451,3,1.2223252074962,1,3,2,4,2
40,산불진화7,249,5,1,5,4,712,2.85943775100402,3,1.0605755830728,5,3,2,4,2
41,산불진화6,145,5,1,5,4,383,2.64137931034483,3,1.19004990952403,5,2,2,3,1
42,산불진화5,223,5,1,5,4,551,2.47085201793722,2,1.18956701267851,5,2,2,3,1
43,산불진화4,104,5,1,5,4,291,2.79807692307692,3,1.1126873886461,5,3,2,4,2
44,산불진화3,116,5,1,5,4,394,3.39655172413793,3,0.990291757294785,1,4,3,4,1
45,산불진화2,102,5,1,5,4,355,3.48039215686275,3,1.12659814291732,1,3,3,4,1
46,산불진화1,142,5,1,5,4,439,3.09154929577465,3,0.903084928683343,1,3,2,4,2
47,간선5,133,5,1,5,4,419,3.15037593984962,3,1.08645966124442,1,3,2,4,2
48,간선4,590,5,1,5,4,1787,3.02881355932203,3,1.29307816265351,1,3,2,4,2
49,간선3,531,5,1,5,4,1717,3.23352165725047,3,1.08667959031944,1,3,2,4,2
50,간선1,1320,5,1,5,4,3783,2.86590909090909,3,1.25567376248617,5,3,2,4,2
51,예배령,243,5,1,5,4,880,3.62139917695473,4,1.07949219177264,1,3,3,5,2
52,구수골 입구,121,5,1,5,4,410,3.38842975206612,3,1.28160475867637,1,3,3,4,1
